Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
AKAZE,AKAZE,1,1541,1513,104,44.332334,12.958484,10.663053,12.540301,11.989397
AKAZE,AKAZE,2,1541,1513,208,44.332334,12.958484,10.663053,12.532159,11.989397
AKAZE,AKAZE,3,1526,1545,111,46.589572,12.691794,10.178259,13.826702,12.595109
AKAZE,AKAZE,4,1529,1566,130,43.844983,12.795951,10.372121,16.304346,11.285089
AKAZE,AKAZE,5,1547,1529,125,43.917172,12.951273,10.224361,14.376728,23.528077
AKAZE,AKAZE,6,1567,1572,136,43.036896,13.147710,10.627161,11.501471,37.070036
AKAZE,AKAZE,7,1538,1567,124,42.876699,12.854442,10.430768,12.298349,10.491403
AKAZE,AKAZE,8,1513,1538,135,44.059857,13.085807,10.046553,11.382012,10.099996
AKAZE,AKAZE,9,1555,1538,118,44.150727,13.223884,10.382277,10.567590,10.967763
AKAZE,AKAZE,10,1544,1555,122,44.025772,12.997492,10.356540,9.951239,8.094218
AKAZE,AKAZE,11,1563,1544,119,43.027313,13.161746,10.406275,9.984855,8.813924
AKAZE,AKAZE,12,1561,1563,124,43.825979,12.728590,10.542847,9.573528,10.292551
AKAZE,AKAZE,13,1569,1561,120,44.129384,13.251480,10.608286,8.913093,8.309779
