Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
AKAZE,BRIEF,1,1541,1513,104,46.358345,14.568480,10.339369,12.540301,11.989397
AKAZE,BRIEF,2,1541,1513,208,46.358345,14.568480,10.339369,12.532159,11.989397
AKAZE,BRIEF,3,1526,1545,111,46.994396,13.572275,13.264541,13.826702,12.595109
AKAZE,BRIEF,4,1529,1566,130,59.168413,20.608288,15.826707,16.304346,11.285089
AKAZE,BRIEF,5,1547,1529,125,58.149707,20.537735,18.119295,14.376728,23.528077
AKAZE,BRIEF,6,1567,1572,136,62.560319,17.776697,13.762778,11.501471,37.070036
AKAZE,BRIEF,7,1538,1567,124,51.372018,17.087025,15.459832,12.298349,10.491403
AKAZE,BRIEF,8,1513,1538,135,54.597502,17.188965,14.018074,11.382012,10.099996
AKAZE,BRIEF,9,1555,1538,118,43.806595,14.320530,11.168278,10.567590,10.967763
AKAZE,BRIEF,10,1544,1555,122,47.437211,13.085127,10.456021,9.951239,8.094218
AKAZE,BRIEF,11,1563,1544,119,44.331099,13.381641,10.511740,9.984855,8.813924
AKAZE,BRIEF,12,1561,1563,124,40.133808,12.864109,10.570016,9.573528,10.292551
AKAZE,BRIEF,13,1569,1561,120,52.245710,17.718047,14.255767,8.913093,8.309779
