Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
AKAZE,BRISK,1,1541,1513,104,45.096583,12.939256,10.134794,12.540301,11.989397
AKAZE,BRISK,2,1541,1513,208,45.096583,12.939256,10.134794,12.532159,11.989397
AKAZE,BRISK,3,1526,1545,111,55.549775,17.319296,13.130198,13.826702,12.595109
AKAZE,BRISK,4,1529,1566,130,44.482492,13.569048,10.417747,16.304346,11.285089
AKAZE,BRISK,5,1547,1529,125,44.871014,14.437161,12.743729,14.376728,23.528077
AKAZE,BRISK,6,1567,1572,136,46.590103,13.834236,10.672838,11.501471,37.070036
AKAZE,BRISK,7,1538,1567,124,40.692036,13.448379,10.620099,12.298349,10.491403
AKAZE,BRISK,8,1513,1538,135,44.685629,13.520664,10.378132,11.382012,10.099996
AKAZE,BRISK,9,1555,1538,118,44.137180,13.381131,10.390481,10.567590,10.967763
AKAZE,BRISK,10,1544,1555,122,44.151955,12.822638,10.709378,9.951239,8.094218
AKAZE,BRISK,11,1563,1544,119,45.256677,13.111671,10.454737,9.984855,8.813924
AKAZE,BRISK,12,1561,1563,124,43.587549,13.329618,10.601994,9.573528,10.292551
AKAZE,BRISK,13,1569,1561,120,46.309472,13.556533,11.297584,8.913093,8.309779
