Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
AKAZE,FREAK,1,1541,1513,104,52.312512,17.120923,11.389543,12.540301,11.989397
AKAZE,FREAK,2,1541,1513,208,52.312512,17.120923,11.389543,12.532159,11.989397
AKAZE,FREAK,3,1526,1545,111,43.829858,12.562725,10.223132,13.826702,12.595109
AKAZE,FREAK,4,1529,1566,130,44.171734,13.180431,11.816246,16.304346,11.285089
AKAZE,FREAK,5,1547,1529,125,44.191360,12.867649,10.235361,14.376728,23.528077
AKAZE,FREAK,6,1567,1572,136,42.399684,12.850223,10.680292,11.501471,37.070036
AKAZE,FREAK,7,1538,1567,124,44.042205,12.783220,10.415816,12.298349,10.491403
AKAZE,FREAK,8,1513,1538,135,43.485888,12.981216,10.099591,11.382012,10.099996
AKAZE,FREAK,9,1555,1538,118,44.086183,13.036852,10.313904,10.567590,10.967763
AKAZE,FREAK,10,1544,1555,122,44.816589,12.721457,10.387687,9.951239,8.094218
AKAZE,FREAK,11,1563,1544,119,45.341977,13.201461,10.570012,9.984855,8.813924
AKAZE,FREAK,12,1561,1563,124,43.646742,12.998987,10.751480,9.573528,10.292551
AKAZE,FREAK,13,1569,1561,120,44.132781,13.277567,10.649964,8.913093,8.309779
