Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
AKAZE,ORB,1,1541,1513,104,58.474679,17.781444,12.923982,12.540301,11.989397
AKAZE,ORB,2,1541,1513,208,58.474679,17.781444,12.923982,12.532159,11.989397
AKAZE,ORB,3,1526,1545,111,47.524712,12.823449,10.446384,13.826702,12.595109
AKAZE,ORB,4,1529,1566,130,44.703888,12.868391,10.339363,16.304346,11.285089
AKAZE,ORB,5,1547,1529,125,44.258968,13.028752,10.498739,14.376728,23.528077
AKAZE,ORB,6,1567,1572,136,46.697869,14.978410,11.576821,11.501471,37.070036
AKAZE,ORB,7,1538,1567,124,44.683867,13.178009,10.581349,12.298349,10.491403
AKAZE,ORB,8,1513,1538,135,45.888450,13.404555,10.102738,11.382012,10.099996
AKAZE,ORB,9,1555,1538,118,58.893019,20.293113,15.622846,10.567590,10.967763
AKAZE,ORB,10,1544,1555,122,62.844544,20.511960,15.767344,9.951239,8.094218
AKAZE,ORB,11,1563,1544,119,62.806943,21.060522,15.756397,9.984855,8.813924
AKAZE,ORB,12,1561,1563,124,51.179578,17.308477,14.406996,9.573528,10.292551
AKAZE,ORB,13,1569,1561,120,50.231694,17.685187,15.702638,8.913093,8.309779
