Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
AKAZE,SIFT,1,1541,1513,104,43.204680,12.597537,10.046848,12.540301,11.989397
AKAZE,SIFT,2,1541,1513,208,43.204680,12.597537,10.046848,12.532159,11.989397
AKAZE,SIFT,3,1526,1545,111,43.590548,12.869637,10.163879,13.826702,12.595109
AKAZE,SIFT,4,1529,1566,130,42.965862,12.408049,10.316436,16.304346,11.285089
AKAZE,SIFT,5,1547,1529,125,48.375030,12.594713,10.215478,14.376728,23.528077
AKAZE,SIFT,6,1567,1572,136,42.741713,13.090726,10.633129,11.501471,37.070036
AKAZE,SIFT,7,1538,1567,124,43.548517,12.678143,10.362526,12.298349,10.491403
AKAZE,SIFT,8,1513,1538,135,46.797493,14.630506,11.588511,11.382012,10.099996
AKAZE,SIFT,9,1555,1538,118,44.102114,13.718492,10.290671,10.567590,10.967763
AKAZE,SIFT,10,1544,1555,122,43.965291,13.585428,10.489280,9.951239,8.094218
AKAZE,SIFT,11,1563,1544,119,44.116439,13.145350,10.468806,9.984855,8.813924
AKAZE,SIFT,12,1561,1563,124,43.928769,12.826750,10.514674,9.573528,10.292551
AKAZE,SIFT,13,1569,1561,120,42.690271,13.175465,10.592957,8.913093,8.309779
