Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
BRISK,BRIEF,1,3000,2896,141,337.880833,27.544317,39.618679,14.804349,11.989397
BRISK,BRIEF,2,3000,2896,282,337.880833,27.544317,39.618679,14.870257,11.989397
BRISK,BRIEF,3,2906,2855,145,298.923019,25.424229,42.972289,26.233313,12.595109
BRISK,BRIEF,4,2886,2886,166,301.604466,25.928776,37.383047,17.956767,11.285089
BRISK,BRIEF,5,2893,2886,168,406.265666,33.591894,45.973291,16.988562,23.528077
BRISK,BRIEF,6,3022,2930,177,405.166000,35.010412,50.117805,12.943978,37.070036
BRISK,BRIEF,7,3013,3022,167,305.587071,26.866070,39.260067,12.843391,10.491403
BRISK,BRIEF,8,2949,3013,195,300.183349,24.756047,39.906492,12.417154,10.099996
BRISK,BRIEF,9,3026,3012,180,306.426671,24.871984,39.043614,12.041057,10.967763
BRISK,BRIEF,10,3074,3026,190,297.182031,25.428249,39.877363,13.279090,8.094218
BRISK,BRIEF,11,3131,3074,189,304.130377,27.062167,42.253316,10.347077,8.813924
BRISK,BRIEF,12,3135,3131,209,303.302941,28.193110,42.505269,9.839529,10.292551
BRISK,BRIEF,13,3146,3135,216,304.863142,26.132747,42.643755,10.605638,8.309779
