Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
BRISK,BRISK,1,3000,2896,141,298.567619,25.617938,37.219762,14.804349,11.989397
BRISK,BRISK,2,3000,2896,282,298.567619,25.617938,37.219762,14.870257,11.989397
BRISK,BRISK,3,2906,2855,145,295.538679,24.007984,35.630755,26.233313,12.595109
BRISK,BRISK,4,2886,2886,166,298.461181,23.788258,35.733089,17.956767,11.285089
BRISK,BRISK,5,2893,2886,168,297.313312,24.079615,35.853805,16.988562,23.528077
BRISK,BRISK,6,3022,2930,177,297.118698,25.631141,37.947443,12.943978,37.070036
BRISK,BRISK,7,3013,3022,167,297.091545,25.540819,39.228561,12.843391,10.491403
BRISK,BRISK,8,2949,3013,195,317.053402,25.917698,38.862435,12.417154,10.099996
BRISK,BRISK,9,3026,3012,180,299.265774,25.256763,39.533035,12.041057,10.967763
BRISK,BRISK,10,3074,3026,190,307.370046,28.225929,41.608211,13.279090,8.094218
BRISK,BRISK,11,3131,3074,189,299.292909,27.861862,42.208448,10.347077,8.813924
BRISK,BRISK,12,3135,3131,209,303.234625,27.168383,42.066217,9.839529,10.292551
BRISK,BRISK,13,3146,3135,216,304.233614,28.328739,42.876967,10.605638,8.309779
