Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
BRISK,FREAK,1,3000,2896,141,296.488730,24.744984,37.218133,14.804349,11.989397
BRISK,FREAK,2,3000,2896,282,296.488730,24.744984,37.218133,14.870257,11.989397
BRISK,FREAK,3,2906,2855,145,304.750767,24.406761,35.990383,26.233313,12.595109
BRISK,FREAK,4,2886,2886,166,300.047488,26.584729,35.870076,17.956767,11.285089
BRISK,FREAK,5,2893,2886,168,299.851942,26.977825,39.462123,16.988562,23.528077
BRISK,FREAK,6,3022,2930,177,299.384874,26.596728,38.854516,12.943978,37.070036
BRISK,FREAK,7,3013,3022,167,303.313594,35.805981,46.147849,12.843391,10.491403
BRISK,FREAK,8,2949,3013,195,310.477318,26.835569,40.925826,12.417154,10.099996
BRISK,FREAK,9,3026,3012,180,309.132825,26.975826,42.211654,12.041057,10.967763
BRISK,FREAK,10,3074,3026,190,304.121917,27.809926,41.441302,13.279090,8.094218
BRISK,FREAK,11,3131,3074,189,306.588420,27.849947,44.600237,10.347077,8.813924
BRISK,FREAK,12,3135,3131,209,306.464351,30.774967,49.959861,9.839529,10.292551
BRISK,FREAK,13,3146,3135,216,305.812723,29.142204,42.360490,10.605638,8.309779
