Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
BRISK,ORB,1,3000,2896,141,296.303590,26.065385,37.243368,14.804349,11.989397
BRISK,ORB,2,3000,2896,282,296.303590,26.065385,37.243368,14.870257,11.989397
BRISK,ORB,3,2906,2855,145,301.422864,24.419074,36.248532,26.233313,12.595109
BRISK,ORB,4,2886,2886,166,313.007760,24.365686,36.815426,17.956767,11.285089
BRISK,ORB,5,2893,2886,168,294.848718,24.284680,36.193454,16.988562,23.528077
BRISK,ORB,6,3022,2930,177,297.741106,26.893898,39.694007,12.943978,37.070036
BRISK,ORB,7,3013,3022,167,301.103136,27.473122,40.291512,12.843391,10.491403
BRISK,ORB,8,2949,3013,195,306.462465,29.119449,46.049112,12.417154,10.099996
BRISK,ORB,9,3026,3012,180,310.974875,25.598813,39.198365,12.041057,10.967763
BRISK,ORB,10,3074,3026,190,297.467539,25.755819,40.037975,13.279090,8.094218
BRISK,ORB,11,3131,3074,189,305.939048,26.539511,42.023690,10.347077,8.813924
BRISK,ORB,12,3135,3131,209,303.213435,26.006205,43.881426,9.839529,10.292551
BRISK,ORB,13,3146,3135,216,299.973689,26.474800,42.830431,10.605638,8.309779
