Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
BRISK,SIFT,1,3000,2896,141,308.094233,25.225431,37.738778,14.804349,11.989397
BRISK,SIFT,2,3000,2896,282,308.094233,25.225431,37.738778,14.870257,11.989397
BRISK,SIFT,3,2906,2855,145,296.020743,27.000110,42.081803,26.233313,12.595109
BRISK,SIFT,4,2886,2886,166,305.198116,23.984600,35.924804,17.956767,11.285089
BRISK,SIFT,5,2893,2886,168,298.150038,26.404251,38.049324,16.988562,23.528077
BRISK,SIFT,6,3022,2930,177,310.459807,28.592058,38.748723,12.943978,37.070036
BRISK,SIFT,7,3013,3022,167,306.224550,26.673072,40.671078,12.843391,10.491403
BRISK,SIFT,8,2949,3013,195,312.240750,27.488703,38.366035,12.417154,10.099996
BRISK,SIFT,9,3026,3012,180,408.950559,34.021169,49.558673,12.041057,10.967763
BRISK,SIFT,10,3074,3026,190,416.022895,34.968533,50.474831,13.279090,8.094218
BRISK,SIFT,11,3131,3074,189,411.700516,36.688797,56.103090,10.347077,8.813924
BRISK,SIFT,12,3135,3131,209,305.105308,26.906533,42.655808,9.839529,10.292551
BRISK,SIFT,13,3146,3135,216,304.070262,27.059398,43.501297,10.605638,8.309779
