Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
FAST,BRIEF,1,1898,1806,78,1.066741,15.462478,14.438335,12.750266,11.989397
FAST,BRIEF,2,1898,1806,156,1.066741,15.462478,14.438335,12.734918,11.989397
FAST,BRIEF,3,1876,1819,98,1.015588,15.034230,14.327764,96.298459,12.595109
FAST,BRIEF,4,1829,1788,108,1.084106,14.819364,13.738628,15.988134,11.285089
FAST,BRIEF,5,1843,1772,102,1.109910,15.446323,13.617505,10.621905,23.528077
FAST,BRIEF,6,1879,1737,96,1.054091,15.051896,13.464580,12.668408,37.070036
FAST,BRIEF,7,1849,1798,89,1.078382,15.059864,13.952035,14.442054,10.491403
FAST,BRIEF,8,1826,1796,115,1.070357,14.817179,13.709228,11.476595,10.099996
FAST,BRIEF,9,1833,1787,116,1.084083,14.838423,13.647817,13.288496,10.967763
FAST,BRIEF,10,1921,1773,103,0.805484,15.647603,14.369579,12.542484,8.094218
FAST,BRIEF,11,1934,1871,108,1.177150,15.672111,15.115172,12.199590,8.813924
FAST,BRIEF,12,1946,1877,112,1.105478,15.634848,16.268186,9.593879,10.292551
FAST,BRIEF,13,1961,1872,109,1.099908,16.003444,15.229728,11.611777,8.309779
