Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
FAST,BRISK,1,1898,1806,78,1.080384,18.750158,15.075214,12.750266,11.989397
FAST,BRISK,2,1898,1806,156,1.080384,18.750158,15.075214,12.734918,11.989397
FAST,BRISK,3,1876,1819,98,1.263697,16.828088,14.488509,96.298459,12.595109
FAST,BRISK,4,1829,1788,108,1.090866,19.958704,17.724734,15.988134,11.285089
FAST,BRISK,5,1843,1772,102,1.532427,20.614190,17.970977,10.621905,23.528077
FAST,BRISK,6,1879,1737,96,1.426163,20.651166,17.156084,12.668408,37.070036
FAST,BRISK,7,1849,1798,89,1.088305,17.820586,13.974964,14.442054,10.491403
FAST,BRISK,8,1826,1796,115,1.080590,15.737712,14.116951,11.476595,10.099996
FAST,BRISK,9,1833,1787,116,1.085836,15.657447,14.093896,13.288496,10.967763
FAST,BRISK,10,1921,1773,103,1.109020,15.399669,14.269995,12.542484,8.094218
FAST,BRISK,11,1934,1871,108,1.832659,21.009070,19.598612,12.199590,8.813924
FAST,BRISK,12,1946,1877,112,1.465451,21.041205,19.201539,9.593879,10.292551
FAST,BRISK,13,1961,1872,109,1.454588,21.582849,19.843504,11.611777,8.309779
