Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
FAST,FREAK,1,1898,1806,78,1.070139,15.216379,14.285985,12.750266,11.989397
FAST,FREAK,2,1898,1806,156,1.070139,15.216379,14.285985,12.734918,11.989397
FAST,FREAK,3,1876,1819,98,1.082008,15.533111,14.261352,96.298459,12.595109
FAST,FREAK,4,1829,1788,108,1.064127,14.691867,13.654522,15.988134,11.285089
FAST,FREAK,5,1843,1772,102,1.034681,15.557039,13.562147,10.621905,23.528077
FAST,FREAK,6,1879,1737,96,1.067745,17.480312,13.490632,12.668408,37.070036
FAST,FREAK,7,1849,1798,89,1.047415,15.023515,13.836896,14.442054,10.491403
FAST,FREAK,8,1826,1796,115,1.078913,15.250579,13.588883,11.476595,10.099996
FAST,FREAK,9,1833,1787,116,1.104878,15.188484,13.797313,13.288496,10.967763
FAST,FREAK,10,1921,1773,103,1.087217,15.582351,14.189855,12.542484,8.094218
FAST,FREAK,11,1934,1871,108,1.095705,15.583408,17.761877,12.199590,8.813924
FAST,FREAK,12,1946,1877,112,1.122867,15.519834,16.104077,9.593879,10.292551
FAST,FREAK,13,1961,1872,109,1.098956,15.782058,15.148858,11.611777,8.309779
