Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
FAST,ORB,1,1898,1806,78,1.033694,15.328690,14.359731,12.750266,11.989397
FAST,ORB,2,1898,1806,156,1.033694,15.328690,14.359731,12.734918,11.989397
FAST,ORB,3,1876,1819,98,1.065191,15.650288,16.419818,96.298459,12.595109
FAST,ORB,4,1829,1788,108,1.068384,14.937358,13.709434,15.988134,11.285089
FAST,ORB,5,1843,1772,102,1.081678,14.881276,13.606402,10.621905,23.528077
FAST,ORB,6,1879,1737,96,1.078533,15.216895,13.468722,12.668408,37.070036
FAST,ORB,7,1849,1798,89,1.115509,15.096621,13.949001,14.442054,10.491403
FAST,ORB,8,1826,1796,115,1.076434,14.815023,13.623587,11.476595,10.099996
FAST,ORB,9,1833,1787,116,1.662384,23.603265,20.606702,13.288496,10.967763
FAST,ORB,10,1921,1773,103,1.705884,24.804165,21.535195,12.542484,8.094218
FAST,ORB,11,1934,1871,108,1.404338,21.573485,19.406439,12.199590,8.813924
FAST,ORB,12,1946,1877,112,1.444912,21.190562,21.788249,9.593879,10.292551
FAST,ORB,13,1961,1872,109,1.386895,21.271683,19.382238,11.611777,8.309779
