Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
FAST,SIFT,1,1898,1806,78,1.080626,16.893592,16.610194,12.750266,11.989397
FAST,SIFT,2,1898,1806,156,1.080626,16.893592,16.610194,12.734918,11.989397
FAST,SIFT,3,1876,1819,98,1.074154,14.951916,15.291157,96.298459,12.595109
FAST,SIFT,4,1829,1788,108,1.087454,14.544104,14.717660,15.988134,11.285089
FAST,SIFT,5,1843,1772,102,1.101025,14.729016,13.665923,10.621905,23.528077
FAST,SIFT,6,1879,1737,96,1.019615,14.980813,13.506047,12.668408,37.070036
FAST,SIFT,7,1849,1798,89,1.050085,14.761725,14.984176,14.442054,10.491403
FAST,SIFT,8,1826,1796,115,1.030636,14.442558,13.655918,11.476595,10.099996
FAST,SIFT,9,1833,1787,116,1.083890,15.062626,13.752127,13.288496,10.967763
FAST,SIFT,10,1921,1773,103,0.758182,15.798487,14.488587,12.542484,8.094218
FAST,SIFT,11,1934,1871,108,1.050639,16.133730,15.094150,12.199590,8.813924
FAST,SIFT,12,1946,1877,112,1.117828,16.232042,15.296350,9.593879,10.292551
FAST,SIFT,13,1961,1872,109,1.088201,15.801947,16.160192,11.611777,8.309779
