Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
HARRIS,BRIEF,1,820,297,28,17.540784,7.525433,2.047338,61.001474,11.989397
HARRIS,BRIEF,2,820,297,56,17.540784,7.525433,2.047338,61.001474,11.989397
HARRIS,BRIEF,3,913,924,93,24.219505,10.435363,4.789770,10.811122,12.595109
HARRIS,BRIEF,4,677,1123,105,14.926121,6.557211,4.708743,78.965313,23.528077
HARRIS,BRIEF,5,1028,362,38,21.209633,8.830190,1.731371,78.965313,37.070036
HARRIS,BRIEF,6,466,1019,65,16.695185,4.543455,2.230079,11.596510,10.491403
HARRIS,BRIEF,7,581,463,47,13.320390,5.234820,1.297913,12.229388,10.099996
HARRIS,BRIEF,8,443,631,59,11.770053,4.385321,1.392234,12.229388,10.967763
HARRIS,BRIEF,9,1082,443,47,22.625849,9.216158,2.195020,12.439358,8.094218
HARRIS,BRIEF,10,817,1068,90,17.056834,7.385342,3.844032,11.698582,8.813924
HARRIS,BRIEF,11,340,803,66,10.899035,4.009324,1.502550,12.733332,10.292551
HARRIS,BRIEF,12,433,331,39,11.760800,4.410420,0.776638,11.521645,8.309779
