Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
HARRIS,BRISK,1,820,297,28,17.493652,7.198043,1.206769,61.001474,11.989397
HARRIS,BRISK,2,820,297,56,17.493652,7.198043,1.206769,61.001474,11.989397
HARRIS,BRISK,3,913,924,93,24.167934,10.906606,4.808482,10.811122,12.595109
HARRIS,BRISK,4,677,1123,105,15.121997,6.967992,3.450734,78.965313,23.528077
HARRIS,BRISK,5,1028,362,38,23.142451,9.215663,1.729066,78.965313,37.070036
HARRIS,BRISK,6,466,1019,65,12.215058,4.454971,2.208764,11.596510,10.491403
HARRIS,BRISK,7,581,463,47,13.437015,5.278651,1.299153,12.229388,10.099996
HARRIS,BRISK,8,443,631,59,11.851472,4.396422,1.381363,12.229388,10.967763
HARRIS,BRISK,9,1082,443,47,23.158510,9.777105,2.144760,12.439358,8.094218
HARRIS,BRISK,10,817,1068,90,17.256491,7.205495,4.654708,11.698582,8.813924
HARRIS,BRISK,11,340,803,66,10.883169,3.480725,1.345315,12.733332,10.292551
HARRIS,BRISK,12,433,331,39,11.820271,4.362144,0.788152,11.521645,8.309779
