Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
HARRIS,FREAK,1,820,297,28,22.651198,9.748128,1.546403,61.001474,11.989397
HARRIS,FREAK,2,820,297,56,22.651198,9.748128,1.546403,61.001474,11.989397
HARRIS,FREAK,3,913,924,93,19.318904,8.531381,3.706097,10.811122,12.595109
HARRIS,FREAK,4,677,1123,105,14.736512,6.503454,3.509786,78.965313,23.528077
HARRIS,FREAK,5,1028,362,38,21.800431,8.813428,1.711532,78.965313,37.070036
HARRIS,FREAK,6,466,1019,65,12.360529,4.451112,2.222475,11.596510,10.491403
HARRIS,FREAK,7,581,463,47,14.635511,5.966785,1.486284,12.229388,10.099996
HARRIS,FREAK,8,443,631,59,12.032080,4.663469,1.538199,12.229388,10.967763
HARRIS,FREAK,9,1082,443,47,23.433147,9.578008,2.173724,12.439358,8.094218
HARRIS,FREAK,10,817,1068,90,17.041970,7.005210,3.826794,11.698582,8.813924
HARRIS,FREAK,11,340,803,66,11.302404,3.788553,1.349501,12.733332,10.292551
HARRIS,FREAK,12,433,331,39,11.944802,4.366164,0.788949,11.521645,8.309779
