Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
HARRIS,ORB,1,820,297,28,17.301189,7.379415,1.194549,61.001474,11.989397
HARRIS,ORB,2,820,297,56,17.301189,7.379415,1.194549,61.001474,11.989397
HARRIS,ORB,3,913,924,93,19.550282,8.238702,3.691500,10.811122,12.595109
HARRIS,ORB,4,677,1123,105,14.850361,6.604785,3.516148,78.965313,23.528077
HARRIS,ORB,5,1028,362,38,21.689756,9.109897,2.397890,78.965313,37.070036
HARRIS,ORB,6,466,1019,65,12.121359,4.467961,2.244780,11.596510,10.491403
HARRIS,ORB,7,581,463,47,14.677797,6.252127,1.288081,12.229388,10.099996
HARRIS,ORB,8,443,631,59,12.048141,4.364676,1.371633,12.229388,10.967763
HARRIS,ORB,9,1082,443,47,23.731790,11.253168,2.289080,12.439358,8.094218
HARRIS,ORB,10,817,1068,90,17.060116,7.296609,4.582926,11.698582,8.813924
HARRIS,ORB,11,340,803,66,11.281512,3.610605,1.495424,12.733332,10.292551
HARRIS,ORB,12,433,331,39,12.199479,5.096706,0.789353,11.521645,8.309779
