Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
HARRIS,SIFT,1,820,297,28,17.838527,7.250532,1.213474,61.001474,11.989397
HARRIS,SIFT,2,820,297,56,17.838527,7.250532,1.213474,61.001474,11.989397
HARRIS,SIFT,3,913,924,93,20.189969,9.451267,3.673466,10.811122,12.595109
HARRIS,SIFT,4,677,1123,105,18.058324,6.217256,3.396644,78.965313,23.528077
HARRIS,SIFT,5,1028,362,38,29.113643,12.006094,2.370871,78.965313,37.070036
HARRIS,SIFT,6,466,1019,65,15.040735,6.028656,2.901970,11.596510,10.491403
HARRIS,SIFT,7,581,463,47,17.696499,7.126835,1.699197,12.229388,10.099996
HARRIS,SIFT,8,443,631,59,11.955201,4.235430,1.365675,12.229388,10.967763
HARRIS,SIFT,9,1082,443,47,22.516957,9.068338,2.155140,12.439358,8.094218
HARRIS,SIFT,10,817,1068,90,17.292971,7.102908,4.518014,11.698582,8.813924
HARRIS,SIFT,11,340,803,66,10.967419,3.424653,1.332277,12.733332,10.292551
HARRIS,SIFT,12,433,331,39,11.922201,4.189877,0.759225,11.521645,8.309779
