Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
ORB,BRIEF,1,500,391,48,9.676083,5.804453,1.057550,17.483580,11.989397
ORB,BRIEF,2,500,391,96,9.676083,5.804453,1.057550,17.483580,11.989397
ORB,BRIEF,3,500,398,60,6.647970,4.189947,0.848647,26.152662,12.595109
ORB,BRIEF,4,500,410,72,6.778243,4.373639,0.898572,17.359982,11.285089
ORB,BRIEF,5,500,413,62,6.770860,4.157338,0.909551,11.100027,23.528077
ORB,BRIEF,6,500,405,65,7.058418,4.284680,0.875023,15.280831,37.070036
ORB,BRIEF,7,500,404,53,7.135625,4.226855,0.879760,7.957948,10.491403
ORB,BRIEF,8,500,403,53,6.855354,4.468438,0.856530,47.565583,10.099996
ORB,BRIEF,9,500,394,58,7.056045,4.210459,0.844556,9.260129,10.967763
ORB,BRIEF,10,500,400,45,7.128529,4.286768,0.854454,10.266625,8.094218
ORB,BRIEF,11,500,405,65,7.254252,4.988347,0.896983,9.370819,8.813924
ORB,BRIEF,12,500,414,59,7.092378,4.860130,0.938316,17.295610,10.292551
ORB,BRIEF,13,500,422,58,7.302124,4.640213,0.952400,19.671560,8.309779
