Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
ORB,BRISK,1,500,391,48,6.790315,4.116848,0.863643,17.483580,11.989397
ORB,BRISK,2,500,391,96,6.790315,4.116848,0.863643,17.483580,11.989397
ORB,BRISK,3,500,398,60,9.048751,5.764497,1.108718,26.152662,12.595109
ORB,BRISK,4,500,410,72,9.060955,5.863087,1.147043,17.359982,11.285089
ORB,BRISK,5,500,413,62,10.241290,5.956471,1.122812,11.100027,23.528077
ORB,BRISK,6,500,405,65,7.111892,4.303837,0.864593,15.280831,37.070036
ORB,BRISK,7,500,404,53,6.922744,4.321673,0.906127,7.957948,10.491403
ORB,BRISK,8,500,403,53,6.848501,4.200877,0.875380,47.565583,10.099996
ORB,BRISK,9,500,394,58,6.820337,4.226299,0.832632,9.260129,10.967763
ORB,BRISK,10,500,400,45,6.940939,4.464370,0.868761,10.266625,8.094218
ORB,BRISK,11,500,405,65,7.648525,4.384479,0.900860,9.370819,8.813924
ORB,BRISK,12,500,414,59,6.972766,4.985388,1.034000,17.295610,10.292551
ORB,BRISK,13,500,422,58,9.351873,5.877503,1.198645,19.671560,8.309779
