Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
ORB,FREAK,1,500,391,48,6.748535,4.664888,0.901642,17.483580,11.989397
ORB,FREAK,2,500,391,96,6.748535,4.664888,0.901642,17.483580,11.989397
ORB,FREAK,3,500,398,60,6.811754,4.220339,0.845855,26.152662,12.595109
ORB,FREAK,4,500,410,72,5.837002,4.437877,0.905680,17.359982,11.285089
ORB,FREAK,5,500,413,62,7.012008,4.137072,0.877519,11.100027,23.528077
ORB,FREAK,6,500,405,65,6.484238,4.246399,0.857911,15.280831,37.070036
ORB,FREAK,7,500,404,53,7.017267,4.179921,0.853413,7.957948,10.491403
ORB,FREAK,8,500,403,53,6.930681,4.129194,0.829703,47.565583,10.099996
ORB,FREAK,9,500,394,58,6.768281,4.443585,0.840911,9.260129,10.967763
ORB,FREAK,10,500,400,45,6.916075,4.277747,0.840816,10.266625,8.094218
ORB,FREAK,11,500,405,65,7.089852,4.980118,0.971152,9.370819,8.813924
ORB,FREAK,12,500,414,59,6.900613,4.540995,1.029316,17.295610,10.292551
ORB,FREAK,13,500,422,58,7.025455,5.228707,0.930779,19.671560,8.309779
