Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
ORB,ORB,1,500,391,48,5.819349,4.156472,0.858836,17.483580,11.989397
ORB,ORB,2,500,391,96,5.819349,4.156472,0.858836,17.483580,11.989397
ORB,ORB,3,500,398,60,7.028562,4.412995,0.864385,26.152662,12.595109
ORB,ORB,4,500,410,72,6.728558,4.317109,0.893528,17.359982,11.285089
ORB,ORB,5,500,413,62,6.910140,4.630760,0.890802,11.100027,23.528077
ORB,ORB,6,500,405,65,9.168784,5.932363,1.113746,15.280831,37.070036
ORB,ORB,7,500,404,53,8.898685,5.813425,1.093912,7.957948,10.491403
ORB,ORB,8,500,403,53,9.333558,5.544510,1.110770,47.565583,10.099996
ORB,ORB,9,500,394,58,7.435318,5.016144,0.845999,9.260129,10.967763
ORB,ORB,10,500,400,45,7.203346,5.539201,0.939459,10.266625,8.094218
ORB,ORB,11,500,405,65,7.016498,4.802155,0.962450,9.370819,8.813924
ORB,ORB,12,500,414,59,7.146660,4.888213,0.916847,17.295610,10.292551
ORB,ORB,13,500,422,58,7.117654,5.164923,1.676329,19.671560,8.309779
