Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
ORB,SIFT,1,500,391,48,9.015538,5.409441,1.061398,17.483580,11.989397
ORB,SIFT,2,500,391,96,9.015538,5.409441,1.061398,17.483580,11.989397
ORB,SIFT,3,500,398,60,6.714339,4.493390,1.670345,26.152662,12.595109
ORB,SIFT,4,500,410,72,6.861269,4.187140,0.886135,17.359982,11.285089
ORB,SIFT,5,500,413,62,7.630173,4.184947,0.894979,11.100027,23.528077
ORB,SIFT,6,500,405,65,6.899776,4.217481,0.851874,15.280831,37.070036
ORB,SIFT,7,500,404,53,7.396074,4.185013,1.021854,7.957948,10.491403
ORB,SIFT,8,500,403,53,7.108327,4.189801,0.862070,47.565583,10.099996
ORB,SIFT,9,500,394,58,6.770652,4.314003,0.827825,9.260129,10.967763
ORB,SIFT,10,500,400,45,7.287153,4.715112,1.780721,10.266625,8.094218
ORB,SIFT,11,500,405,65,6.987446,4.362425,0.893359,9.370819,8.813924
ORB,SIFT,12,500,414,59,7.055893,4.455051,0.915781,17.295610,10.292551
ORB,SIFT,13,500,422,58,7.478327,4.807867,0.968458,19.671560,8.309779
