Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SHITOMASI,BRIEF,1,1759,1630,83,10.246547,14.084585,11.688807,15.194810,11.989397
SHITOMASI,BRIEF,2,1806,1729,91,10.439115,14.900604,12.522710,12.853594,12.595109
SHITOMASI,BRIEF,3,1894,1736,95,10.460657,16.453938,14.625963,12.925121,11.285089
SHITOMASI,BRIEF,4,1889,1758,90,11.092149,15.050440,13.235077,13.893044,23.528077
SHITOMASI,BRIEF,5,1874,1778,86,9.822772,15.820799,13.149354,39.757630,37.070036
SHITOMASI,BRIEF,6,1912,1739,82,10.244630,14.979122,13.553925,12.776217,10.491403
SHITOMASI,BRIEF,7,1930,1787,89,11.130485,15.810270,13.691131,12.023237,10.099996
SHITOMASI,BRIEF,8,1886,1768,91,10.323807,16.755293,13.466187,12.703137,10.967763
SHITOMASI,BRIEF,9,1957,1776,85,10.333350,16.677377,14.635409,10.500498,8.094218
SHITOMASI,BRIEF,10,1888,1849,94,10.286925,14.918757,14.018801,11.454247,8.813924
