Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SHITOMASI,BRISK,1,1759,1630,83,10.335282,14.207437,11.432546,15.194810,11.989397
SHITOMASI,BRISK,2,1806,1729,91,10.206363,14.642789,12.357014,12.853594,12.595109
SHITOMASI,BRISK,3,1894,1736,95,10.149423,16.228989,13.177820,12.925121,11.285089
SHITOMASI,BRISK,4,1889,1758,90,10.753387,14.885608,13.117104,13.893044,23.528077
SHITOMASI,BRISK,5,1874,1778,86,10.714327,14.815890,13.448386,39.757630,37.070036
SHITOMASI,BRISK,6,1912,1739,82,10.258666,16.126933,13.308484,12.776217,10.491403
SHITOMASI,BRISK,7,1930,1787,89,10.309323,15.287415,13.701754,12.023237,10.099996
SHITOMASI,BRISK,8,1886,1768,91,10.100532,16.952262,13.834189,12.703137,10.967763
SHITOMASI,BRISK,9,1957,1776,85,10.569579,16.493736,14.377406,10.500498,8.094218
SHITOMASI,BRISK,10,1888,1849,94,10.430616,14.961399,13.998477,11.454247,8.813924
SHITOMASI,BRISK,11,1919,1778,85,10.362160,15.082097,14.474402,10.062017,10.292551
SHITOMASI,BRISK,12,2055,1815,91,10.508689,17.036119,15.352514,10.300536,8.309779
