Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SHITOMASI,FREAK,1,1759,1630,83,10.217623,14.793128,11.617425,15.194810,11.989397
SHITOMASI,FREAK,2,1806,1729,91,10.281180,14.373470,12.475287,12.853594,12.595109
SHITOMASI,FREAK,3,1894,1736,95,10.765765,14.995410,13.032274,12.925121,11.285089
SHITOMASI,FREAK,4,1889,1758,90,10.246980,15.462136,13.228446,13.893044,23.528077
SHITOMASI,FREAK,5,1874,1778,86,10.193232,15.035069,13.209381,39.757630,37.070036
SHITOMASI,FREAK,6,1912,1739,82,10.173654,15.955319,13.499675,12.776217,10.491403
SHITOMASI,FREAK,7,1930,1787,89,10.151785,15.270519,13.678093,12.023237,10.099996
SHITOMASI,FREAK,8,1886,1768,91,10.214584,15.613085,13.466614,12.703137,10.967763
SHITOMASI,FREAK,9,1957,1776,85,10.323180,15.963515,14.019019,10.500498,8.094218
SHITOMASI,FREAK,10,1888,1849,94,10.134191,15.520745,15.207745,11.454247,8.813924
SHITOMASI,FREAK,11,1919,1778,85,10.233553,15.395591,13.884503,10.062017,10.292551
SHITOMASI,FREAK,12,2055,1815,91,10.465029,17.856210,15.061621,10.300536,8.309779
