Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SHITOMASI,ORB,1,1759,1630,83,10.119667,13.933279,11.721175,15.194810,11.989397
SHITOMASI,ORB,2,1806,1729,91,12.398587,20.524749,16.115946,12.853594,12.595109
SHITOMASI,ORB,3,1894,1736,95,10.207018,15.132886,13.142520,12.925121,11.285089
SHITOMASI,ORB,4,1889,1758,90,10.439346,15.266357,13.367408,13.893044,23.528077
SHITOMASI,ORB,5,1874,1778,86,10.404449,16.187850,13.329814,39.757630,37.070036
SHITOMASI,ORB,6,1912,1739,82,10.218435,15.722550,13.405167,12.776217,10.491403
SHITOMASI,ORB,7,1930,1787,89,10.196040,15.760480,13.787780,12.023237,10.099996
SHITOMASI,ORB,8,1886,1768,91,10.243700,15.003406,13.489350,12.703137,10.967763
SHITOMASI,ORB,9,1957,1776,85,10.255144,16.534059,14.207452,10.500498,8.094218
SHITOMASI,ORB,10,1888,1849,94,10.292622,15.620977,14.203901,11.454247,8.813924
SHITOMASI,ORB,11,1919,1778,85,10.199369,15.908372,13.905047,10.062017,10.292551
SHITOMASI,ORB,12,2055,1815,91,10.418294,17.536382,15.111646,10.300536,8.309779
