Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SHITOMASI,SIFT,1,1759,1630,83,10.434722,15.111282,11.756089,15.194810,11.989397
SHITOMASI,SIFT,2,1806,1729,91,10.135805,15.910176,14.269870,12.853594,12.595109
SHITOMASI,SIFT,3,1894,1736,95,10.624587,15.263374,13.095681,12.925121,11.285089
SHITOMASI,SIFT,4,1889,1758,90,10.324832,15.585889,13.226225,13.893044,23.528077
SHITOMASI,SIFT,5,1874,1778,86,10.270199,15.550904,13.280633,39.757630,37.070036
SHITOMASI,SIFT,6,1912,1739,82,10.347553,15.675688,13.386390,12.776217,10.491403
SHITOMASI,SIFT,7,1930,1787,89,11.331718,15.754535,13.797249,12.023237,10.099996
SHITOMASI,SIFT,8,1886,1768,91,10.218321,14.986196,14.595731,12.703137,10.967763
SHITOMASI,SIFT,9,1957,1776,85,10.319421,15.476747,14.183104,10.500498,8.094218
SHITOMASI,SIFT,10,1888,1849,94,9.875997,16.303292,14.421037,11.454247,8.813924
SHITOMASI,SIFT,11,1919,1778,85,11.330113,15.928885,13.877912,10.062017,10.292551
SHITOMASI,SIFT,12,2055,1815,91,10.119692,16.897275,15.135392,10.300536,8.309779
