Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SIFT,BRIEF,1,1915,1819,104,85.402100,20.600498,18.151790,14.842712,11.989397
SIFT,BRIEF,2,1875,1746,113,71.550414,14.992625,14.918472,16.338638,12.595109
SIFT,BRIEF,3,1963,1814,138,71.480867,15.236189,14.439718,14.918438,11.285089
SIFT,BRIEF,4,1954,1854,130,74.324357,15.600371,15.050179,15.234578,23.528077
SIFT,BRIEF,5,2043,1872,108,72.637456,15.974090,15.294378,10.234646,37.070036
SIFT,BRIEF,6,2065,1900,105,71.628605,16.228030,16.041214,10.505042,10.491403
SIFT,BRIEF,7,2007,1960,116,73.100263,16.096904,16.377875,9.929227,10.099996
SIFT,BRIEF,8,2048,1943,110,73.542659,16.324101,16.290537,11.084934,10.967763
SIFT,BRIEF,9,2044,1961,102,74.791186,16.072221,16.803672,9.780120,8.094218
SIFT,BRIEF,10,2086,1965,113,72.164781,17.043598,16.811831,10.554878,8.813924
SIFT,BRIEF,11,2093,1991,93,71.828906,16.514482,16.996858,8.829045,10.292551
SIFT,BRIEF,12,2159,1990,105,72.815165,17.285430,17.913779,9.526181,8.309779
