Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SIFT,BRISK,1,1915,1819,104,86.814042,20.441086,18.447046,14.842712,11.989397
SIFT,BRISK,2,1875,1746,113,72.262341,15.224822,13.563662,16.338638,12.595109
SIFT,BRISK,3,1963,1814,138,71.815330,15.713637,14.488932,14.918438,11.285089
SIFT,BRISK,4,1954,1854,130,71.783421,15.586038,14.963296,15.234578,23.528077
SIFT,BRISK,5,2043,1872,108,72.699735,16.189533,15.303399,10.234646,37.070036
SIFT,BRISK,6,2065,1900,105,72.053879,16.162381,15.931790,10.505042,10.491403
SIFT,BRISK,7,2007,1960,116,73.639335,15.878448,16.308117,9.929227,10.099996
SIFT,BRISK,8,2048,1943,110,71.726318,15.999719,16.330284,11.084934,10.967763
SIFT,BRISK,9,2044,1961,102,71.642810,16.518781,16.631758,9.780120,8.094218
SIFT,BRISK,10,2086,1965,113,99.391247,26.241218,25.360553,10.554878,8.813924
SIFT,BRISK,11,2093,1991,93,98.865554,26.497696,25.863459,8.829045,10.292551
SIFT,BRISK,12,2159,1990,105,99.575138,27.177156,26.514993,9.526181,8.309779
