Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SIFT,FREAK,1,1915,1819,104,73.024703,15.609010,14.284490,14.842712,11.989397
SIFT,FREAK,2,1875,1746,113,76.035435,15.129405,13.365260,16.338638,12.595109
SIFT,FREAK,3,1963,1814,138,72.178407,15.471159,14.439339,14.918438,11.285089
SIFT,FREAK,4,1954,1854,130,73.492585,15.428856,14.941226,15.234578,23.528077
SIFT,FREAK,5,2043,1872,108,86.831217,21.291086,19.516271,10.234646,37.070036
SIFT,FREAK,6,2065,1900,105,87.005803,22.026540,20.403172,10.505042,10.491403
SIFT,FREAK,7,2007,1960,116,84.663078,21.583894,20.468658,9.929227,10.099996
SIFT,FREAK,8,2048,1943,110,73.216596,16.308584,17.001574,11.084934,10.967763
SIFT,FREAK,9,2044,1961,102,73.282949,16.302720,16.567796,9.780120,8.094218
SIFT,FREAK,10,2086,1965,113,73.277936,16.662154,17.047617,10.554878,8.813924
SIFT,FREAK,11,2093,1991,93,74.006963,16.824617,17.240764,8.829045,10.292551
SIFT,FREAK,12,2159,1990,105,76.366240,18.186096,19.977707,9.526181,8.309779
