Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #MatchedPoints, #KeyPointsOnROI, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
SIFT,SIFT,1,1915,1819,104,73.853481,15.436442,14.440647,14.842712,11.989397
SIFT,SIFT,2,1875,1746,113,71.645274,14.867660,13.307774,16.338638,12.595109
SIFT,SIFT,3,1963,1814,138,73.928119,15.685007,14.951683,14.918438,11.285089
SIFT,SIFT,4,1954,1854,130,72.520455,15.343911,14.851549,15.234578,23.528077
SIFT,SIFT,5,2043,1872,108,72.311672,15.540814,15.607877,10.234646,37.070036
SIFT,SIFT,6,2065,1900,105,70.730178,16.274291,16.019132,10.505042,10.491403
SIFT,SIFT,7,2007,1960,116,72.831768,15.895286,16.065123,9.929227,10.099996
SIFT,SIFT,8,2048,1943,110,72.322512,21.666887,20.795588,11.084934,10.967763
SIFT,SIFT,9,2044,1961,102,85.148688,21.717148,20.995233,9.780120,8.094218
SIFT,SIFT,10,2086,1965,113,85.532519,22.219645,21.415485,10.554878,8.813924
SIFT,SIFT,11,2093,1991,93,84.740160,22.428435,21.661001,8.829045,10.292551
SIFT,SIFT,12,2159,1990,105,72.740210,16.911210,17.743114,9.526181,8.309779
