Detector Type, Descriptor Type, Frame#, #KeyPointsPerFrame, #KeyPointsPerROI, #MatchedPoints, DetectorTime(ms), DescriptorTime(ms), MatchingTime(ms), ttc_camera, ttc_lidar
FAST,BRISK,1,1898,78,1806,1.176469,15.371374,14.189881,12.750266,11.989397
FAST,BRISK,2,1898,156,1806,1.176469,15.371374,14.189881,12.734918,11.989397
FAST,BRISK,3,1876,98,1819,1.068882,15.180836,14.154631,96.298459,12.595109
FAST,BRISK,4,1829,108,1788,1.079084,14.542740,13.528776,15.988134,11.285089
FAST,BRISK,5,1843,102,1772,1.086665,14.694753,13.474309,10.621905,23.528077
FAST,BRISK,6,1879,96,1737,1.101277,14.866713,13.629945,12.668408,37.070036
FAST,BRISK,7,1849,89,1798,1.212467,14.869318,13.883756,14.442054,10.491403
FAST,BRISK,8,1826,115,1796,1.081541,14.745494,13.820022,11.476595,10.099996
FAST,BRISK,9,1833,116,1787,1.073308,14.669127,13.600045,13.288496,10.967763
FAST,BRISK,10,1921,103,1773,1.118399,15.425209,14.119777,12.542484,8.094218
FAST,BRISK,11,1934,108,1871,1.120879,15.455624,14.963618,12.199590,8.813924
FAST,BRISK,12,1946,112,1877,1.098253,15.707003,14.971580,9.593879,10.292551
FAST,BRISK,13,1961,109,1872,1.120294,15.680102,15.343867,11.611777,8.309779
